Accession,X100Tumor_0Stroma_0Lymphocyte_Other_N.A,X100Tumor_0Stroma_0Lymphocyte_Other_N.A.1,X87.5Tumor_12.5Stroma_0Lymphocyte_Other_N.A,X75Tumor_25Stroma_0Lymphocyte_Other_N.A,X50Tumor_50Stroma_0Lymphocyte_Other_N.A,X25Tumor_75Stroma_0Lymphocyte_Other_N.A,X12.5Tumor_87.5Stroma_0Lymphocyte_Other_N.A,X0Tumor_100Stroma_0Lymphocyte_Other_N.A,X0Tumor_100Stroma_0Lymphocyte_Other_N.A.1,X0Tumor_0Stroma_100Lymphocyte_Other_N.A,X0Tumor_0Stroma_100Lymphocyte_Other_N.A.1,X50Tumor_0Stroma_50Lymphocyte_Other_N.A,X75Tumor_0Stroma_25Lymphocyte_Other_N.A,X87.5Tumor_0Stroma_12.50Lymphocyte_Other_N.A,X93.75Tumor_0Stroma_6.25Lymphocyte_Other_N.A,X96.875Tumor_0Stroma_3.125Lymphocyte_Other_N.A
Q9H792,-0.432466178522226,-0.528614090419941,-1.05896767996782,-0.45333752940959,-0.247495351268001,0.212693656322536,1.2124759188678,0.579670928420089,0.850468273974417,0.465207369396286,0.590572021000821,-0.37475133909281,-0.643138477702584,-0.578828310478699,-0.434407235841506,-0.710791331261545
Q9H799,0.126463328001533,0.324170969016132,0.162970827983217,0.607173610674717,0.156586110409011,0.322259316916543,0.220194860313592,-0.0807421114251485,-0.222208366952784,-0.950701794208848,-0.983544626328575,-0.254555810843825,0.030145613968887,0.38223575894573,0.404663280218777,0.166050047390919
Q9H7B2,0.0330138487821719,-0.071325052820905,-0.188317294668092,0.0877792237606847,-0.0809311799456522,-0.383287576610996,-0.370804982480919,-0.393616271301958,-0.594584092792644,-0.206171453737079,-0.277994966853777,-0.351837212253469,-0.289553975903454,-0.280474803658784,0.0061396280820919,-0.24503476094533
Q9H7C9,-0.226717519778135,-0.186025117395426,-0.201609086301806,-0.27086672735434,-0.212937206221691,0.04823778549548,0.129404504427332,0.234743036122636,0.17347933511771,0.231580021557296,0.237548595276241,-0.152886117800869,-0.265620270065975,-0.279417364736674,-0.374372337521728,-0.272795365465596
Q9H7D0,0.132600624267495,0.0239953385068622,-0.0018374776514284,0.286331768155541,-0.0563781211055386,0.552985539001369,0.449195277597337,0.363935556284409,0.593367224671915,-0.365550898676454,0.0564920636620803,-0.084716418985994,-0.0570883121689914,0.141959648401138,0.036324608950877,-0.0377808641012619
Q9H7D7,-0.125743369602411,-0.145138576784786,-0.215711457875252,-0.0823691482110353,-0.0421227216870269,-0.223724957193995,0.452862029738652,-0.0501650658446303,-0.0130912888711292,-0.0686825709013439,-0.0746218756582596,-0.203007036206907,-0.398556084330438,-0.189152027087585,-0.228307826438587,-0.167920512214525
Q9H7H0,-0.0201197705538562,-0.131857875467212,0.203771421861835,-0.0350735655229905,0.433429175363169,0.364455990529232,0.597603051247867,0.338939975339144,0.423182975174953,0.188127483746921,0.249390280838349,-0.276777741608496,-0.188694146126077,0.300164057065043,0.1601456545644,0.130932369254964
Q9H7L9,0.15038056833686,-0.0866988545246575,-0.284345190524967,-0.151178632194886,-0.110038227049383,0.0159133601610216,-0.198100006197029,-0.324424449097535,-0.042165355932162,-0.0270426315287551,-0.0156632979504694,-0.331326006121379,-0.0841529733367331,-0.13386701208672,-0.0524925052648973,-0.181915797459887
Q9H7N4,-0.246782011134975,-0.569376585800165,-0.325333082074903,-0.776740665652695,-0.5879242152491,-0.110702948891149,-0.174164933368542,-0.109838646894911,-0.034340247098937,-0.426979591577713,-0.136632740922058,-0.427968376835842,-0.067781537886001,-0.280671540868968,-0.235615295906195,-0.462541361551848
Q9H7Z3,-0.281314146458343,-0.287255400281232,-0.168726722302473,-0.113733793923732,-0.45470365777944,-0.0692513081684993,0.141856454202329,-0.0323216615793315,0.0682753612338084,-0.132150147819325,0.0167625020884043,-0.0498677362548056,-0.269826932533579,-0.280910967201842,-0.153860888245567,-0.0780118831036899
Q9H7Z6,0.116847762387111,0.076890982890819,0.0530531833528833,0.0503524520706035,0.017664549994258,-0.0034224830569714,-0.110296775825143,-0.369171812909207,-0.0688078164103679,0.374705886876126,0.289729126430911,0.161121514270742,-0.127494094750516,0.121970013743508,0.0049871062223033,0.0025031643422655
Q9H7Z7,0.37368409930677,0.329272998098782,0.299729524907627,0.374122931089529,0.328977988999445,-0.0283180815323422,0.0218362615387074,-0.20434363451859,-0.270178284829288,-0.34410201758573,-0.429151600155691,0.0194656527071536,0.188590997283338,0.30697016879814,0.294659410892175,0.505260159563719
Q9H825,0.404950585234284,0.287316866135102,0.220824463320577,0.604870182391256,0.59610177158536,0.309911092839378,0.316995640679672,-0.0155544331473965,0.0468959289320093,-0.580637813175457,-0.632685794107113,0.0458903699798917,0.0730381227773167,0.453933150295178,0.418797490155556,0.442618946794731
Q9H832,0.013374820280383,-0.0529103417966197,-0.209156207595478,-0.137673628661597,-0.580828897473625,-0.539875864171993,-0.514428569296396,-0.615805490256277,-0.505380605581159,0.516232775734503,0.323125509790704,0.39900147625526,-0.0548326258074233,0.113399332516327,-0.006831393931282,0.0587792807131206
Q9H845,0.610157852462131,0.557283150916193,0.444873507327799,0.595627286677096,0.197125939258324,0.0330121627351439,-0.102189760115321,-0.248048574740281,-0.552936235317706,-0.420264400329694,-0.431451160287032,0.202336899518731,0.405285812618104,0.53275885689386,0.480850957026087,0.573233814600209
Q9H857,0.575622758389648,0.498219681521256,0.546584912423279,0.683345435696652,0.544640411750182,0.628318709807254,0.504531666692164,0.311655443597128,0.177041599324305,-0.840921448236986,-1.13682776190141,-0.305134843338805,0.149774672301242,0.448245920653838,0.509869408604325,0.445654644922433
Q9H871,-0.22327795974561,-0.0650088557352037,-0.172222666034548,-0.086311409930239,-0.917277390981147,-0.606406310883673,-0.253245050222201,-0.423822965602179,-0.832546789854595,0.0900988403293157,-0.0708276730691497,-0.10864319733955,-0.351685402930297,-0.0868984565087017,-0.058247747754225,-0.038436182005984
